epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3240.03,1.40999,0.64998,0.00183,0.82082,0.50901,0.57824,0.28664,1.98865,2.06798,0.00315,0.0007922,0.0007922,0.0007922
63,3290.3,1.3736,0.63067,0.00178,0.91047,0.5,0.6122,0.31445,1.93491,1.83578,0.00305,0.0007724,0.0007724,0.0007724
64,3340.98,1.37256,0.63944,0.00178,0.78186,0.4883,0.5658,0.29834,1.95558,2.05204,0.00307,0.0007526,0.0007526,0.0007526
65,3391.63,1.37048,0.63597,0.00173,0.8733,0.4883,0.56579,0.2984,1.97399,2.31758,0.00309,0.0007328,0.0007328,0.0007328
66,3442.26,1.40659,0.63182,0.00179,0.80819,0.58187,0.64146,0.33361,1.93031,1.79049,0.00299,0.000713,0.000713,0.000713
67,3492.72,1.37417,0.63413,0.00177,0.80924,0.50858,0.58627,0.29142,2.03051,2.03585,0.00325,0.0006932,0.0006932,0.0006932
68,3543.4,1.37542,0.61646,0.00184,0.84386,0.45614,0.53847,0.27935,1.95799,2.43176,0.00306,0.0006734,0.0006734,0.0006734
69,3593.69,1.38127,0.61517,0.00179,0.87851,0.46515,0.53221,0.27803,1.93869,2.35337,0.00305,0.0006536,0.0006536,0.0006536
70,3644.35,1.3685,0.63873,0.00179,0.8199,0.48538,0.54076,0.27575,1.99072,2.31442,0.00316,0.0006338,0.0006338,0.0006338
71,3694.91,1.3471,0.62603,0.00174,0.84403,0.53798,0.58948,0.29487,2.00395,2.07266,0.00316,0.000614,0.000614,0.000614
72,3745.56,1.39864,0.60842,0.00186,0.83277,0.52924,0.59667,0.31143,1.95205,2.00586,0.00303,0.0005942,0.0005942,0.0005942
73,3796.3,1.35873,0.6193,0.00175,0.80191,0.46784,0.53786,0.28428,1.96965,2.42971,0.00305,0.0005744,0.0005744,0.0005744
74,3846.63,1.32599,0.60612,0.00174,0.82853,0.52275,0.58403,0.30528,2.01139,1.99711,0.00318,0.0005546,0.0005546,0.0005546
75,3897.24,1.32514,0.60497,0.00168,0.82716,0.46784,0.55787,0.28999,1.96619,2.3535,0.00309,0.0005348,0.0005348,0.0005348
76,3947.89,1.31761,0.62293,0.00167,0.78407,0.52026,0.60238,0.30974,1.92519,1.99816,0.00299,0.000515,0.000515,0.000515
77,3998.41,1.34576,0.60143,0.00176,0.82057,0.4883,0.58512,0.29676,2.00442,2.24123,0.00316,0.0004952,0.0004952,0.0004952
78,4049.09,1.3086,0.58404,0.00172,0.83794,0.51405,0.56934,0.27176,2.1071,2.20208,0.00334,0.0004754,0.0004754,0.0004754
79,4099.62,1.33382,0.57636,0.0017,0.81102,0.53958,0.60466,0.30607,2.00044,2.08913,0.00307,0.0004556,0.0004556,0.0004556
80,4149.85,1.31851,0.5688,0.00171,0.8351,0.5,0.57031,0.30449,1.94948,2.30543,0.00305,0.0004358,0.0004358,0.0004358
81,4200.08,1.33036,0.59352,0.00171,0.90154,0.45513,0.53673,0.28623,1.96804,2.53491,0.00302,0.000416,0.000416,0.000416
82,4250.44,1.30866,0.58834,0.00165,0.78951,0.53739,0.58181,0.30507,2.00322,2.06997,0.00315,0.0003962,0.0003962,0.0003962
83,4301.02,1.33709,0.59255,0.00171,0.85635,0.48808,0.58192,0.29773,2.01025,2.30047,0.00312,0.0003764,0.0003764,0.0003764
84,4351.42,1.30207,0.60178,0.00168,0.81877,0.54163,0.59676,0.30229,2.03666,1.96124,0.00315,0.0003566,0.0003566,0.0003566
85,4401.99,1.28868,0.6025,0.00164,0.80618,0.52047,0.58367,0.30651,1.99301,2.06606,0.00304,0.0003368,0.0003368,0.0003368
86,4452.18,1.27917,0.5599,0.00163,0.81696,0.49594,0.57284,0.29331,2.04327,2.1783,0.00314,0.000317,0.000317,0.000317
87,4502.66,1.28633,0.5685,0.0016,0.81343,0.53509,0.58811,0.30654,2.01471,1.99164,0.00312,0.0002972,0.0002972,0.0002972
88,4552.83,1.33387,0.59443,0.00167,0.81365,0.5362,0.5914,0.29816,2.04741,1.98591,0.00315,0.0002774,0.0002774,0.0002774
