epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,14943,1.04596,0.61784,0.74604,0.63246,0.47953,0.52906,0.26204,2.0092,2.05289,1.20597,0.0012212,0.0012212,0.0012212
61,15190.6,1.08149,0.64902,0.74536,0.74245,0.43832,0.50261,0.25714,1.93827,2.53584,1.19217,0.001208,0.001208,0.001208
62,15437.6,1.02278,0.60825,0.71814,0.72578,0.47981,0.57294,0.27946,1.95389,2.05301,1.19691,0.0011948,0.0011948,0.0011948
63,15684.8,1.06198,0.6415,0.75016,0.77033,0.32363,0.44215,0.22772,1.98469,2.95541,1.18836,0.0011816,0.0011816,0.0011816
64,15932,1.03894,0.61021,0.73659,0.75945,0.47661,0.57485,0.30189,1.87116,2.14498,1.17274,0.0011684,0.0011684,0.0011684
65,16178.9,1.00718,0.60118,0.71852,0.6931,0.39474,0.46402,0.24886,1.91479,2.69873,1.17159,0.0011552,0.0011552,0.0011552
66,16426,1.02408,0.60154,0.74197,0.72351,0.40936,0.48009,0.25876,1.88463,2.59098,1.15711,0.001142,0.001142,0.001142
67,16672.8,1.01619,0.61689,0.71422,0.72061,0.38889,0.45772,0.22984,2.05077,2.77129,1.24533,0.0011288,0.0011288,0.0011288
68,16920,1.0243,0.57916,0.72736,0.69714,0.44737,0.49981,0.24911,1.97314,2.50246,1.20547,0.0011156,0.0011156,0.0011156
69,17167.4,1.00231,0.59727,0.72808,0.76089,0.46199,0.56327,0.29118,1.91069,2.05604,1.18183,0.0011024,0.0011024,0.0011024
70,17415,1.01854,0.59324,0.72289,0.85852,0.42982,0.55203,0.28262,1.95208,2.18518,1.18589,0.0010892,0.0010892,0.0010892
71,17662.1,0.98393,0.57623,0.71177,0.78976,0.49123,0.59052,0.30945,1.91126,2.1042,1.1724,0.001076,0.001076,0.001076
72,17909.7,1.03513,0.60581,0.73609,0.72448,0.49708,0.56183,0.29588,1.95301,2.18921,1.18682,0.0010628,0.0010628,0.0010628
73,18156.9,0.97776,0.58095,0.71178,0.73,0.44271,0.51034,0.27189,1.91407,2.43399,1.17524,0.0010496,0.0010496,0.0010496
74,18404.1,1.01011,0.57421,0.72662,0.77537,0.38012,0.45972,0.2482,1.88592,2.91827,1.17097,0.0010364,0.0010364,0.0010364
75,18650.9,0.96588,0.56755,0.70879,0.82593,0.39766,0.49632,0.25811,1.97928,2.55941,1.19596,0.0010232,0.0010232,0.0010232
76,18897.9,0.98655,0.56094,0.70199,0.67226,0.40351,0.46845,0.24668,1.98582,2.61502,1.21122,0.00101,0.00101,0.00101
77,19144.9,0.96396,0.54956,0.7104,0.73197,0.38889,0.48036,0.25163,1.94049,2.60029,1.19887,0.0009968,0.0009968,0.0009968
78,19392,0.97644,0.56861,0.72447,0.63105,0.4269,0.44589,0.23306,1.95917,2.6333,1.18896,0.0009836,0.0009836,0.0009836
79,19638.9,0.97899,0.54254,0.71319,0.76218,0.45322,0.5376,0.28839,1.89596,2.29985,1.17168,0.0009704,0.0009704,0.0009704
80,19885.9,0.93539,0.54778,0.69547,0.71632,0.54386,0.59231,0.301,1.94667,1.89906,1.19519,0.0009572,0.0009572,0.0009572
81,20133.2,0.96118,0.54653,0.71025,0.74123,0.46065,0.54415,0.29051,1.85381,2.28364,1.1567,0.000944,0.000944,0.000944
82,20380.2,0.97265,0.54618,0.70495,0.70349,0.44399,0.50358,0.26823,1.95158,2.53271,1.18431,0.0009308,0.0009308,0.0009308
83,20626.9,0.95296,0.55752,0.69481,0.68296,0.39682,0.42994,0.23558,1.92486,2.90021,1.17769,0.0009176,0.0009176,0.0009176
84,20874.3,1.01028,0.58339,0.71831,0.73256,0.42449,0.47899,0.25372,1.92925,2.66918,1.17046,0.0009044,0.0009044,0.0009044
85,21121.7,0.9432,0.5399,0.69558,0.72893,0.47368,0.53121,0.27318,1.88764,2.27535,1.16411,0.0008912,0.0008912,0.0008912
86,21368.8,0.95589,0.52519,0.7161,0.76109,0.43275,0.51434,0.27238,1.84771,2.45929,1.16622,0.000878,0.000878,0.000878
87,21616.1,0.92609,0.50892,0.69538,0.77155,0.45029,0.53941,0.27847,1.94591,2.45712,1.19546,0.0008648,0.0008648,0.0008648
88,21863.8,0.97106,0.55951,0.70889,0.75676,0.4152,0.47987,0.24849,1.8858,2.58504,1.17426,0.0008516,0.0008516,0.0008516
89,22110.9,0.90882,0.50411,0.69308,0.72318,0.38193,0.45482,0.23829,1.87541,2.98296,1.16038,0.0008384,0.0008384,0.0008384
90,22358.7,0.95785,0.53257,0.72402,0.71905,0.45649,0.51933,0.27356,1.91373,2.41736,1.16542,0.0008252,0.0008252,0.0008252
91,22605.9,0.93321,0.52073,0.6828,0.7291,0.52047,0.58662,0.30119,1.96178,2.15851,1.19641,0.000812,0.000812,0.000812
92,22853.2,0.93361,0.52724,0.69159,0.76957,0.4152,0.51743,0.26474,1.98615,2.38286,1.20613,0.0007988,0.0007988,0.0007988
93,23100,0.90829,0.51107,0.67938,0.71359,0.50267,0.53753,0.2741,1.94656,2.31112,1.18317,0.0007856,0.0007856,0.0007856
94,23347.3,0.95807,0.51761,0.69217,0.75452,0.50329,0.59483,0.30158,1.97539,2.12859,1.20494,0.0007724,0.0007724,0.0007724
95,23594.5,0.91385,0.50555,0.68437,0.7231,0.50395,0.55841,0.28931,1.95421,2.22906,1.18336,0.0007592,0.0007592,0.0007592
96,23841.8,0.90649,0.49963,0.68515,0.78124,0.48538,0.57499,0.29959,1.95972,2.0945,1.18409,0.000746,0.000746,0.000746
97,24089,0.91612,0.51849,0.686,0.80506,0.53509,0.62523,0.32079,1.94041,1.78576,1.16537,0.0007328,0.0007328,0.0007328
98,24336.7,0.94385,0.51747,0.71403,0.6775,0.44737,0.49955,0.2623,1.96796,2.39551,1.19639,0.0007196,0.0007196,0.0007196
99,24583.9,0.9288,0.51011,0.70401,0.73201,0.45906,0.51607,0.27249,1.91232,2.57642,1.17547,0.0007064,0.0007064,0.0007064
100,24831.8,0.94451,0.50707,0.70942,0.77561,0.46491,0.51327,0.27076,1.89294,2.47897,1.1604,0.0006932,0.0006932,0.0006932
101,25079.7,0.92005,0.51331,0.69948,0.73908,0.48246,0.52377,0.27064,1.94533,2.42337,1.18127,0.00068,0.00068,0.00068
102,25327.2,0.91583,0.50758,0.7016,0.7316,0.42982,0.50809,0.25767,1.97759,2.56385,1.18539,0.0006668,0.0006668,0.0006668
