epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,6520.65,1.16655,0.59382,0.00389,0.90785,0.90322,0.94569,0.6981,0.98525,0.49036,0.004,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,6597.78,1.198,0.5976,0.00406,0.90304,0.89787,0.94238,0.69423,0.98517,0.50778,0.00402,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,6674.16,1.17936,0.60825,0.00387,0.90743,0.90737,0.94522,0.70026,0.98416,0.49366,0.004,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,6749.79,1.17693,0.58029,0.00393,0.92464,0.90452,0.95019,0.69728,0.98872,0.4741,0.00403,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,6825.72,1.17186,0.5951,0.00379,0.92691,0.88707,0.95027,0.69123,1.00145,0.47942,0.00412,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,6900.57,1.18581,0.61623,0.00395,0.9203,0.89509,0.9488,0.69106,0.98865,0.50058,0.00406,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,6975.56,1.16769,0.59457,0.00389,0.92915,0.88004,0.94613,0.68359,0.98625,0.48357,0.00408,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,7050.83,1.14585,0.57906,0.00381,0.92,0.89225,0.95202,0.69215,0.97202,0.49555,0.00399,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,7126.97,1.15399,0.60097,0.00392,0.89472,0.90737,0.94569,0.6897,0.97498,0.50247,0.004,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,7202.56,1.17429,0.59367,0.00387,0.91767,0.91682,0.95096,0.7041,0.97086,0.47296,0.00398,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,7277.89,1.15253,0.58266,0.00385,0.92598,0.9105,0.95287,0.70464,0.97061,0.47414,0.00397,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,7353.86,1.17217,0.57052,0.00387,0.93928,0.90359,0.95229,0.69943,0.97484,0.46846,0.00398,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,7429.16,1.16747,0.58852,0.00386,0.92888,0.91399,0.95279,0.70201,0.97616,0.47721,0.00398,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,7505.04,1.12612,0.57522,0.00368,0.93599,0.91212,0.95447,0.70436,0.97429,0.47192,0.00397,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,7580.8,1.12088,0.54433,0.00368,0.92359,0.91021,0.9514,0.70154,0.97022,0.47184,0.00395,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,7655.38,1.11888,0.5481,0.00367,0.93111,0.91682,0.95358,0.70192,0.97117,0.46604,0.00396,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,7730.56,1.12834,0.56288,0.00374,0.935,0.91086,0.95355,0.70063,0.96821,0.47092,0.00394,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,7806.02,1.11629,0.5478,0.00365,0.92661,0.90926,0.94988,0.6995,0.97042,0.46684,0.00395,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,7881.47,1.11765,0.55987,0.00365,0.9288,0.9121,0.95229,0.70201,0.96329,0.47518,0.00392,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,7957.77,1.13499,0.54621,0.00381,0.91618,0.91941,0.95198,0.70131,0.97052,0.46397,0.00394,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,8031.9,1.11239,0.52634,0.00367,0.92499,0.92076,0.95363,0.70487,0.96779,0.45746,0.00394,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,8107.08,1.10258,0.53785,0.00363,0.92727,0.91304,0.95403,0.7065,0.96236,0.45922,0.00391,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,8182.83,1.11111,0.51778,0.0036,0.93597,0.9118,0.95521,0.70766,0.95819,0.45795,0.00389,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,8257.99,1.09838,0.54204,0.00367,0.93585,0.9238,0.95844,0.71613,0.95198,0.44553,0.00386,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,8333.07,1.10086,0.52931,0.00363,0.93952,0.92495,0.95936,0.71928,0.95114,0.43411,0.00385,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,8407.38,1.10179,0.52772,0.00355,0.9467,0.9206,0.95973,0.71954,0.94921,0.43975,0.00384,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,8481.47,1.07483,0.53664,0.00352,0.94562,0.93289,0.96124,0.72269,0.94964,0.42562,0.00384,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
